"etuus";"vuosi";"aikatyyppi";"viikko";"alue";"ikaluokka";"sukupuoli";"saapuneet_hakemukset";"updated";"saapuneet_hakemukset_kumu"
"Työttömyysturva";"2021";"viikko";"39";"Koko Suomi";"kaikki";"kaikki";"6970";"2023/11/21 09:43:32";"254237"
"Työttömyysturva";"2021";"viikko";"40";"Koko Suomi";"kaikki";"kaikki";"5568";"2023/11/21 09:43:32";"259805"
"Työttömyysturva";"2021";"viikko";"41";"Koko Suomi";"kaikki";"kaikki";"5258";"2023/11/21 09:43:32";"265063"
"Työttömyysturva";"2021";"viikko";"42";"Koko Suomi";"kaikki";"kaikki";"5028";"2023/11/21 09:43:32";"270091"
"Työttömyysturva";"2021";"viikko";"43";"Koko Suomi";"kaikki";"kaikki";"4601";"2023/11/21 09:43:32";"274692"
"Työttömyysturva";"2021";"viikko";"44";"Koko Suomi";"kaikki";"kaikki";"6328";"2023/11/21 09:43:32";"281020"
"Työttömyysturva";"2021";"viikko";"45";"Koko Suomi";"kaikki";"kaikki";"5849";"2023/11/21 09:43:32";"286869"
"Työttömyysturva";"2021";"viikko";"46";"Koko Suomi";"kaikki";"kaikki";"6057";"2023/11/21 09:43:32";"292926"
"Työttömyysturva";"2021";"viikko";"47";"Koko Suomi";"kaikki";"kaikki";"5647";"2023/11/21 09:43:32";"298573"
"Työttömyysturva";"2021";"viikko";"48";"Koko Suomi";"kaikki";"kaikki";"7685";"2023/11/21 09:43:32";"306258"
"Työttömyysturva";"2021";"viikko";"49";"Koko Suomi";"kaikki";"kaikki";"4552";"2023/11/21 09:43:32";"310810"
"Työttömyysturva";"2021";"viikko";"50";"Koko Suomi";"kaikki";"kaikki";"7294";"2023/11/21 09:43:32";"318104"
"Työttömyysturva";"2021";"viikko";"51";"Koko Suomi";"kaikki";"kaikki";"7468";"2023/11/21 09:43:32";"325572"
"Työttömyysturva";"2021";"viikko";"52";"Koko Suomi";"kaikki";"kaikki";"7674";"2023/11/21 09:43:32";"333246"
"Työttömyysturva";"2022";"viikko";"1";"Koko Suomi";"kaikki";"kaikki";"6929";"2023/11/21 09:43:32";"6929"
"Työttömyysturva";"2022";"viikko";"2";"Koko Suomi";"kaikki";"kaikki";"7198";"2023/11/21 09:43:32";"14127"
"Työttömyysturva";"2022";"viikko";"3";"Koko Suomi";"kaikki";"kaikki";"6951";"2023/11/21 09:43:32";"21078"
"Työttömyysturva";"2022";"viikko";"4";"Koko Suomi";"kaikki";"kaikki";"7303";"2023/11/21 09:43:32";"28381"
"Työttömyysturva";"2022";"viikko";"5";"Koko Suomi";"kaikki";"kaikki";"8538";"2023/11/21 09:43:32";"36919"
"Työttömyysturva";"2022";"viikko";"6";"Koko Suomi";"kaikki";"kaikki";"5825";"2023/11/21 09:43:32";"42744"
"Työttömyysturva";"2022";"viikko";"7";"Koko Suomi";"kaikki";"kaikki";"6245";"2023/11/21 09:43:32";"48989"
"Työttömyysturva";"2022";"viikko";"8";"Koko Suomi";"kaikki";"kaikki";"6096";"2023/11/21 09:43:32";"55085"
"Työttömyysturva";"2022";"viikko";"9";"Koko Suomi";"kaikki";"kaikki";"5706";"2023/11/21 09:43:32";"60791"
"Työttömyysturva";"2022";"viikko";"10";"Koko Suomi";"kaikki";"kaikki";"4947";"2023/11/21 09:43:32";"65738"
"Työttömyysturva";"2022";"viikko";"11";"Koko Suomi";"kaikki";"kaikki";"5519";"2023/11/21 09:43:32";"71257"
"Työttömyysturva";"2022";"viikko";"12";"Koko Suomi";"kaikki";"kaikki";"4803";"2023/11/21 09:43:32";"76060"
"Työttömyysturva";"2022";"viikko";"13";"Koko Suomi";"kaikki";"kaikki";"5709";"2023/11/21 09:43:32";"81769"
"Työttömyysturva";"2022";"viikko";"14";"Koko Suomi";"kaikki";"kaikki";"6249";"2023/11/21 09:43:32";"88018"
"Työttömyysturva";"2022";"viikko";"15";"Koko Suomi";"kaikki";"kaikki";"7190";"2023/11/21 09:43:32";"95208"
"Työttömyysturva";"2022";"viikko";"16";"Koko Suomi";"kaikki";"kaikki";"4404";"2023/11/21 09:43:32";"99612"
"Työttömyysturva";"2022";"viikko";"17";"Koko Suomi";"kaikki";"kaikki";"4779";"2023/11/21 09:43:32";"104391"
"Työttömyysturva";"2022";"viikko";"18";"Koko Suomi";"kaikki";"kaikki";"5142";"2023/11/21 09:43:32";"109533"
"Työttömyysturva";"2022";"viikko";"19";"Koko Suomi";"kaikki";"kaikki";"4987";"2023/11/21 09:43:32";"114520"
"Työttömyysturva";"2022";"viikko";"20";"Koko Suomi";"kaikki";"kaikki";"5865";"2023/11/21 09:43:32";"120385"
"Työttömyysturva";"2022";"viikko";"21";"Koko Suomi";"kaikki";"kaikki";"4351";"2023/11/21 09:43:32";"124736"
"Työttömyysturva";"2022";"viikko";"22";"Koko Suomi";"kaikki";"kaikki";"7084";"2023/11/21 09:43:32";"131820"
"Työttömyysturva";"2022";"viikko";"23";"Koko Suomi";"kaikki";"kaikki";"6433";"2023/11/21 09:43:32";"138253"
"Työttömyysturva";"2022";"viikko";"24";"Koko Suomi";"kaikki";"kaikki";"6246";"2023/11/21 09:43:32";"144499"
"Työttömyysturva";"2022";"viikko";"25";"Koko Suomi";"kaikki";"kaikki";"5574";"2023/11/21 09:43:32";"150073"
"Työttömyysturva";"2022";"viikko";"26";"Koko Suomi";"kaikki";"kaikki";"6198";"2023/11/21 09:43:32";"156271"
"Työttömyysturva";"2022";"viikko";"27";"Koko Suomi";"kaikki";"kaikki";"6154";"2023/11/21 09:43:32";"162425"
"Työttömyysturva";"2022";"viikko";"28";"Koko Suomi";"kaikki";"kaikki";"6182";"2023/11/21 09:43:32";"168607"
"Työttömyysturva";"2022";"viikko";"29";"Koko Suomi";"kaikki";"kaikki";"6040";"2023/11/21 09:43:32";"174647"
"Työttömyysturva";"2022";"viikko";"30";"Koko Suomi";"kaikki";"kaikki";"5797";"2023/11/21 09:43:32";"180444"
"Työttömyysturva";"2022";"viikko";"31";"Koko Suomi";"kaikki";"kaikki";"7526";"2023/11/21 09:43:32";"187970"
"Työttömyysturva";"2022";"viikko";"32";"Koko Suomi";"kaikki";"kaikki";"6141";"2023/11/21 09:43:32";"194111"
"Työttömyysturva";"2022";"viikko";"33";"Koko Suomi";"kaikki";"kaikki";"6152";"2023/11/21 09:43:32";"200263"
"Työttömyysturva";"2022";"viikko";"34";"Koko Suomi";"kaikki";"kaikki";"6275";"2023/11/21 09:43:32";"206538"
"Työttömyysturva";"2022";"viikko";"35";"Koko Suomi";"kaikki";"kaikki";"7896";"2023/11/21 09:43:32";"214434"
"Työttömyysturva";"2022";"viikko";"36";"Koko Suomi";"kaikki";"kaikki";"6030";"2023/11/21 09:43:32";"220464"
"Työttömyysturva";"2022";"viikko";"37";"Koko Suomi";"kaikki";"kaikki";"5964";"2023/11/21 09:43:32";"226428"
"Työttömyysturva";"2022";"viikko";"38";"Koko Suomi";"kaikki";"kaikki";"6651";"2023/11/21 09:43:32";"233079"
"Työttömyysturva";"2022";"viikko";"39";"Koko Suomi";"kaikki";"kaikki";"5654";"2023/11/21 09:43:32";"238733"
"Työttömyysturva";"2022";"viikko";"40";"Koko Suomi";"kaikki";"kaikki";"5642";"2023/11/21 09:43:32";"244375"
"Työttömyysturva";"2022";"viikko";"41";"Koko Suomi";"kaikki";"kaikki";"5515";"2023/11/21 09:43:32";"249890"
"Työttömyysturva";"2022";"viikko";"42";"Koko Suomi";"kaikki";"kaikki";"5540";"2023/11/21 09:43:32";"255430"
