"etuus";"vuosi";"aikatyyppi";"viikko";"paiva";"viikonpaiva";"alue";"ikaluokka";"sukupuoli";"saapuneet_hakemukset";"updated"
"Työttömyysturva";"2020";"paiva";"4";"2020-01-23";"torstai";"Koko Suomi";"kaikki";"kaikki";"1250";"2023/11/20 12:10:23"
"Työttömyysturva";"2020";"paiva";"4";"2020-01-24";"perjantai";"Koko Suomi";"kaikki";"kaikki";"1024";"2023/11/20 12:10:23"
"Työttömyysturva";"2020";"paiva";"4";"2020-01-25";"lauantai";"Koko Suomi";"kaikki";"kaikki";"205";"2023/11/20 12:10:23"
"Työttömyysturva";"2020";"paiva";"4";"2020-01-26";"sunnuntai";"Koko Suomi";"kaikki";"kaikki";"340";"2023/11/20 12:10:23"
"Työttömyysturva";"2021";"paiva";"4";"2021-01-25";"maanantai";"Koko Suomi";"kaikki";"kaikki";"1317";"2023/11/20 12:10:23"
"Työttömyysturva";"2021";"paiva";"4";"2021-01-26";"tiistai";"Koko Suomi";"kaikki";"kaikki";"1394";"2023/11/20 12:10:23"
"Työttömyysturva";"2021";"paiva";"4";"2021-01-27";"keskiviikko";"Koko Suomi";"kaikki";"kaikki";"1418";"2023/11/20 12:10:23"
"Työttömyysturva";"2021";"paiva";"4";"2021-01-28";"torstai";"Koko Suomi";"kaikki";"kaikki";"1211";"2023/11/20 12:10:23"
"Työttömyysturva";"2021";"paiva";"4";"2021-01-29";"perjantai";"Koko Suomi";"kaikki";"kaikki";"1223";"2023/11/20 12:10:23"
"Työttömyysturva";"2021";"paiva";"4";"2021-01-30";"lauantai";"Koko Suomi";"kaikki";"kaikki";"207";"2023/11/20 12:10:23"
"Työttömyysturva";"2021";"paiva";"4";"2021-01-31";"sunnuntai";"Koko Suomi";"kaikki";"kaikki";"475";"2023/11/20 12:10:23"
"Työttömyysturva";"2022";"paiva";"4";"2022-01-24";"maanantai";"Koko Suomi";"kaikki";"kaikki";"1577";"2023/11/20 12:10:23"
"Työttömyysturva";"2022";"paiva";"4";"2022-01-25";"tiistai";"Koko Suomi";"kaikki";"kaikki";"1288";"2023/11/20 12:10:23"
"Työttömyysturva";"2022";"paiva";"4";"2022-01-26";"keskiviikko";"Koko Suomi";"kaikki";"kaikki";"1707";"2023/11/20 12:10:23"
"Työttömyysturva";"2022";"paiva";"4";"2022-01-27";"torstai";"Koko Suomi";"kaikki";"kaikki";"1080";"2023/11/20 12:10:23"
