"etuus";"vuosi";"aikatyyppi";"viikko";"alue";"ikaluokka";"sukupuoli";"saapuneet_hakemukset";"updated"
"Työttömyysturva";"2019";"viikko";"2";"Koko Suomi";"35-44";"naiset";"871";"2023/12/19 12:10:43"
"Työttömyysturva";"2019";"viikko";"2";"Koko Suomi";"45-54";"naiset";"750";"2023/12/19 12:10:43"
"Työttömyysturva";"2019";"viikko";"2";"Koko Suomi";"yli 54";"naiset";"531";"2023/12/19 12:10:43"
"Työttömyysturva";"2020";"viikko";"2";"Koko Suomi";"18-24";"naiset";"1168";"2023/12/19 12:10:43"
"Työttömyysturva";"2020";"viikko";"2";"Koko Suomi";"25-34";"naiset";"1168";"2023/12/19 12:10:43"
"Työttömyysturva";"2020";"viikko";"2";"Koko Suomi";"35-44";"naiset";"765";"2023/12/19 12:10:43"
"Työttömyysturva";"2020";"viikko";"2";"Koko Suomi";"45-54";"naiset";"570";"2023/12/19 12:10:43"
"Työttömyysturva";"2020";"viikko";"2";"Koko Suomi";"yli 54";"naiset";"398";"2023/12/19 12:10:43"
"Työttömyysturva";"2021";"viikko";"2";"Koko Suomi";"18-24";"naiset";"1264";"2023/12/19 12:10:43"
"Työttömyysturva";"2021";"viikko";"2";"Koko Suomi";"25-34";"naiset";"1264";"2023/12/19 12:10:43"
"Työttömyysturva";"2021";"viikko";"2";"Koko Suomi";"35-44";"naiset";"862";"2023/12/19 12:10:43"
"Työttömyysturva";"2021";"viikko";"2";"Koko Suomi";"45-54";"naiset";"610";"2023/12/19 12:10:43"
"Työttömyysturva";"2021";"viikko";"2";"Koko Suomi";"yli 54";"naiset";"453";"2023/12/19 12:10:43"
"Työttömyysturva";"2022";"viikko";"2";"Koko Suomi";"18-24";"naiset";"1077";"2023/12/19 12:10:43"
"Työttömyysturva";"2022";"viikko";"2";"Koko Suomi";"25-34";"naiset";"1077";"2023/12/19 12:10:43"
"Työttömyysturva";"2022";"viikko";"2";"Koko Suomi";"35-44";"naiset";"726";"2023/12/19 12:10:43"
"Työttömyysturva";"2022";"viikko";"2";"Koko Suomi";"45-54";"naiset";"472";"2023/12/19 12:10:43"
"Työttömyysturva";"2022";"viikko";"2";"Koko Suomi";"yli 54";"naiset";"366";"2023/12/19 12:10:43"
"Työttömyysturva";"2023";"viikko";"2";"Koko Suomi";"18-24";"naiset";"1072";"2023/12/19 12:10:43"
"Työttömyysturva";"2023";"viikko";"2";"Koko Suomi";"25-34";"naiset";"1072";"2023/12/19 12:10:43"
"Työttömyysturva";"2023";"viikko";"2";"Koko Suomi";"35-44";"naiset";"790";"2023/12/19 12:10:43"
"Työttömyysturva";"2023";"viikko";"2";"Koko Suomi";"45-54";"naiset";"535";"2023/12/19 12:10:43"
"Työttömyysturva";"2023";"viikko";"2";"Koko Suomi";"yli 54";"naiset";"407";"2023/12/19 12:10:43"
"Työttömyysturva";"2019";"viikko";"3";"Koko Suomi";"18-24";"kaikki";"2577";"2023/12/19 12:10:43"
"Työttömyysturva";"2019";"viikko";"3";"Koko Suomi";"25-34";"kaikki";"2577";"2023/12/19 12:10:43"
"Työttömyysturva";"2019";"viikko";"3";"Koko Suomi";"35-44";"kaikki";"1735";"2023/12/19 12:10:43"
"Työttömyysturva";"2019";"viikko";"3";"Koko Suomi";"45-54";"kaikki";"1476";"2023/12/19 12:10:43"
"Työttömyysturva";"2019";"viikko";"3";"Koko Suomi";"yli 54";"kaikki";"993";"2023/12/19 12:10:43"
"Työttömyysturva";"2020";"viikko";"3";"Koko Suomi";"18-24";"kaikki";"2410";"2023/12/19 12:10:43"
"Työttömyysturva";"2020";"viikko";"3";"Koko Suomi";"25-34";"kaikki";"2410";"2023/12/19 12:10:43"
"Työttömyysturva";"2020";"viikko";"3";"Koko Suomi";"35-44";"kaikki";"1630";"2023/12/19 12:10:43"
"Työttömyysturva";"2020";"viikko";"3";"Koko Suomi";"45-54";"kaikki";"1159";"2023/12/19 12:10:43"
"Työttömyysturva";"2020";"viikko";"3";"Koko Suomi";"yli 54";"kaikki";"881";"2023/12/19 12:10:43"
"Työttömyysturva";"2021";"viikko";"3";"Koko Suomi";"18-24";"kaikki";"2376";"2023/12/19 12:10:43"
"Työttömyysturva";"2021";"viikko";"3";"Koko Suomi";"25-34";"kaikki";"2376";"2023/12/19 12:10:43"
"Työttömyysturva";"2021";"viikko";"3";"Koko Suomi";"35-44";"kaikki";"1571";"2023/12/19 12:10:43"
"Työttömyysturva";"2021";"viikko";"3";"Koko Suomi";"45-54";"kaikki";"1094";"2023/12/19 12:10:43"
"Työttömyysturva";"2021";"viikko";"3";"Koko Suomi";"yli 54";"kaikki";"797";"2023/12/19 12:10:43"
"Työttömyysturva";"2022";"viikko";"3";"Koko Suomi";"18-24";"kaikki";"2137";"2023/12/19 12:10:43"
"Työttömyysturva";"2022";"viikko";"3";"Koko Suomi";"25-34";"kaikki";"2137";"2023/12/19 12:10:43"
"Työttömyysturva";"2022";"viikko";"3";"Koko Suomi";"35-44";"kaikki";"1361";"2023/12/19 12:10:43"
"Työttömyysturva";"2022";"viikko";"3";"Koko Suomi";"45-54";"kaikki";"1002";"2023/12/19 12:10:43"
"Työttömyysturva";"2022";"viikko";"3";"Koko Suomi";"yli 54";"kaikki";"742";"2023/12/19 12:10:43"
"Työttömyysturva";"2023";"viikko";"3";"Koko Suomi";"18-24";"kaikki";"1892";"2023/12/19 12:10:43"
"Työttömyysturva";"2023";"viikko";"3";"Koko Suomi";"25-34";"kaikki";"1892";"2023/12/19 12:10:43"
"Työttömyysturva";"2023";"viikko";"3";"Koko Suomi";"35-44";"kaikki";"1353";"2023/12/19 12:10:43"
"Työttömyysturva";"2023";"viikko";"3";"Koko Suomi";"45-54";"kaikki";"895";"2023/12/19 12:10:43"
"Työttömyysturva";"2023";"viikko";"3";"Koko Suomi";"yli 54";"kaikki";"735";"2023/12/19 12:10:43"
"Työttömyysturva";"2019";"viikko";"3";"Koko Suomi";"18-24";"miehet";"1315";"2023/12/19 12:10:43"
"Työttömyysturva";"2019";"viikko";"3";"Koko Suomi";"25-34";"miehet";"1315";"2023/12/19 12:10:43"
"Työttömyysturva";"2019";"viikko";"3";"Koko Suomi";"35-44";"miehet";"798";"2023/12/19 12:10:43"
"Työttömyysturva";"2019";"viikko";"3";"Koko Suomi";"45-54";"miehet";"736";"2023/12/19 12:10:43"
"Työttömyysturva";"2019";"viikko";"3";"Koko Suomi";"yli 54";"miehet";"475";"2023/12/19 12:10:43"
