alue;etuus;vuosi;kuukausi;paiva;variable;val;type
Pohjois-Savo;Perustoimeentulotuki;2019;2;2019-02-01;aiemmin tukea saaneet;9269;Saajat
Pohjois-Savo;Perustoimeentulotuki;2019;2;2019-02-01;aiemmin tukea saaneet;6309;Saajakotitaloudet
Päijät-Häme;Perustoimeentulotuki;2019;2;2019-02-01;uudet saajat;492;Saajat
Päijät-Häme;Perustoimeentulotuki;2019;2;2019-02-01;uudet saajat;364;Saajakotitaloudet
Päijät-Häme;Perustoimeentulotuki;2019;2;2019-02-01;aiemmin tukea saaneet;9189;Saajat
Päijät-Häme;Perustoimeentulotuki;2019;2;2019-02-01;aiemmin tukea saaneet;6213;Saajakotitaloudet
Satakunta;Perustoimeentulotuki;2019;2;2019-02-01;uudet saajat;358;Saajat
Satakunta;Perustoimeentulotuki;2019;2;2019-02-01;uudet saajat;278;Saajakotitaloudet
Satakunta;Perustoimeentulotuki;2019;2;2019-02-01;aiemmin tukea saaneet;5137;Saajat
Satakunta;Perustoimeentulotuki;2019;2;2019-02-01;aiemmin tukea saaneet;3605;Saajakotitaloudet
Uusimaa;Perustoimeentulotuki;2019;2;2019-02-01;uudet saajat;3001;Saajat
Uusimaa;Perustoimeentulotuki;2019;2;2019-02-01;uudet saajat;2225;Saajakotitaloudet
Uusimaa;Perustoimeentulotuki;2019;2;2019-02-01;aiemmin tukea saaneet;78613;Saajat
Uusimaa;Perustoimeentulotuki;2019;2;2019-02-01;aiemmin tukea saaneet;48440;Saajakotitaloudet
Varsinais-Suomi;Perustoimeentulotuki;2019;2;2019-02-01;uudet saajat;864;Saajat
Varsinais-Suomi;Perustoimeentulotuki;2019;2;2019-02-01;uudet saajat;636;Saajakotitaloudet
Varsinais-Suomi;Perustoimeentulotuki;2019;2;2019-02-01;aiemmin tukea saaneet;15201;Saajat
Varsinais-Suomi;Perustoimeentulotuki;2019;2;2019-02-01;aiemmin tukea saaneet;9746;Saajakotitaloudet
Etelä-Karjala;Perustoimeentulotuki;2019;3;2019-03-01;uudet saajat;277;Saajat
