etuus;vuosi;kuukausi;paiva;alue;variable;val
Yleinen asumistuki;2019;7;2019-07-01;Kymenlaakso;"aiemmin tukea 
saaneet ruokakunnat";9312
Yleinen asumistuki;2019;7;2019-07-01;Lappi;uudet saajaruokakunnat;177
Yleinen asumistuki;2019;7;2019-07-01;Lappi;"aiemmin tukea 
saaneet ruokakunnat";9480
Yleinen asumistuki;2019;7;2019-07-01;Pirkanmaa;uudet saajaruokakunnat;497
Yleinen asumistuki;2019;7;2019-07-01;Pirkanmaa;"aiemmin tukea 
saaneet ruokakunnat";36901
Yleinen asumistuki;2019;7;2019-07-01;Pohjanmaa;uudet saajaruokakunnat;110
Yleinen asumistuki;2019;7;2019-07-01;Pohjanmaa;"aiemmin tukea 
saaneet ruokakunnat";8713
Yleinen asumistuki;2019;7;2019-07-01;Pohjois-Karjala;uudet saajaruokakunnat;112
Yleinen asumistuki;2019;7;2019-07-01;Pohjois-Karjala;"aiemmin tukea 
saaneet ruokakunnat";12361
Yleinen asumistuki;2019;7;2019-07-01;Pohjois-Pohjanmaa;uudet saajaruokakunnat;453
Yleinen asumistuki;2019;7;2019-07-01;Pohjois-Pohjanmaa;"aiemmin tukea 
saaneet ruokakunnat";25543
Yleinen asumistuki;2019;7;2019-07-01;Pohjois-Savo;uudet saajaruokakunnat;222
Yleinen asumistuki;2019;7;2019-07-01;Pohjois-Savo;"aiemmin tukea 
saaneet ruokakunnat";15539
Yleinen asumistuki;2019;7;2019-07-01;Päijät-Häme;uudet saajaruokakunnat;208
Yleinen asumistuki;2019;7;2019-07-01;Päijät-Häme;"aiemmin tukea 
saaneet ruokakunnat";13045
Yleinen asumistuki;2019;7;2019-07-01;Satakunta;uudet saajaruokakunnat;176
Yleinen asumistuki;2019;7;2019-07-01;Satakunta;"aiemmin tukea 
saaneet ruokakunnat";10623
Yleinen asumistuki;2019;7;2019-07-01;Uusimaa;uudet saajaruokakunnat;1776
Yleinen asumistuki;2019;7;2019-07-01;Uusimaa;"aiemmin tukea 
saaneet ruokakunnat";115652
Yleinen asumistuki;2019;7;2019-07-01;Varsinais-Suomi;uudet saajaruokakunnat;456
Yleinen asumistuki;2019;7;2019-07-01;Varsinais-Suomi;"aiemmin tukea 
saaneet ruokakunnat";31241
Yleinen asumistuki;2019;8;2019-08-01;Etelä-Karjala;uudet saajaruokakunnat;196
