etuus;vuosi;kuukausi;ikaluokka;sukupuoli;paiva;variable;val
Työttömyysturva;2019;11;25-34;kaikki;2019-11-01;uudet saajat;2084
Työttömyysturva;2019;11;35-44;kaikki;2019-11-01;uudet saajat;1302
Työttömyysturva;2019;11;45-54;kaikki;2019-11-01;uudet saajat;869
Työttömyysturva;2019;11;yli 54;kaikki;2019-11-01;uudet saajat;565
Työttömyysturva;2019;11;18-24;miehet;2019-11-01;uudet saajat;1004
Työttömyysturva;2019;11;25-34;miehet;2019-11-01;uudet saajat;963
Työttömyysturva;2019;11;35-44;miehet;2019-11-01;uudet saajat;590
Työttömyysturva;2019;11;45-54;miehet;2019-11-01;uudet saajat;429
Työttömyysturva;2019;11;yli 54;miehet;2019-11-01;uudet saajat;285
Työttömyysturva;2019;11;18-24;naiset;2019-11-01;uudet saajat;930
Työttömyysturva;2019;11;25-34;naiset;2019-11-01;uudet saajat;1121
