etuus;vuosi;aikatyyppi;viikko;paiva;viikonpaiva;alue;ikaluokka;sukupuoli;saapuneet_hakemukset;updated
Työttömyysturva;2020;paiva;11;2020-03-12;torstai;Koko Suomi;kaikki;kaikki;947;2021/07/13 10:02:58
Työttömyysturva;2020;paiva;11;2020-03-13;perjantai;Koko Suomi;kaikki;kaikki;838;2021/07/13 10:02:58
Työttömyysturva;2020;paiva;11;2020-03-14;lauantai;Koko Suomi;kaikki;kaikki;236;2021/07/13 10:02:58
Työttömyysturva;2020;paiva;11;2020-03-15;sunnuntai;Koko Suomi;kaikki;kaikki;354;2021/07/13 10:02:58
Työttömyysturva;2021;paiva;11;2021-03-15;maanantai;Koko Suomi;kaikki;kaikki;1481;2021/07/13 10:02:58
Työttömyysturva;2021;paiva;11;2021-03-16;tiistai;Koko Suomi;kaikki;kaikki;1493;2021/07/13 10:02:58
Työttömyysturva;2021;paiva;11;2021-03-17;keskiviikko;Koko Suomi;kaikki;kaikki;1428;2021/07/13 10:02:58
Työttömyysturva;2021;paiva;11;2021-03-18;torstai;Koko Suomi;kaikki;kaikki;1200;2021/07/13 10:02:58
Työttömyysturva;2021;paiva;11;2021-03-19;perjantai;Koko Suomi;kaikki;kaikki;1053;2021/07/13 10:02:58
Työttömyysturva;2021;paiva;11;2021-03-20;lauantai;Koko Suomi;kaikki;kaikki;261;2021/07/13 10:02:58
Työttömyysturva;2021;paiva;11;2021-03-21;sunnuntai;Koko Suomi;kaikki;kaikki;298;2021/07/13 10:02:58
Työttömyysturva;2020;paiva;12;2020-03-16;maanantai;Koko Suomi;kaikki;kaikki;1656;2021/07/13 10:02:58
Työttömyysturva;2020;paiva;12;2020-03-17;tiistai;Koko Suomi;kaikki;kaikki;1349;2021/07/13 10:02:58
Työttömyysturva;2020;paiva;12;2020-03-18;keskiviikko;Koko Suomi;kaikki;kaikki;1561;2021/07/13 10:02:58
Työttömyysturva;2020;paiva;12;2020-03-19;torstai;Koko Suomi;kaikki;kaikki;1606;2021/07/13 10:02:58
Työttömyysturva;2020;paiva;12;2020-03-20;perjantai;Koko Suomi;kaikki;kaikki;1813;2021/07/13 10:02:58
Työttömyysturva;2020;paiva;12;2020-03-21;lauantai;Koko Suomi;kaikki;kaikki;301;2021/07/13 10:02:58
Työttömyysturva;2020;paiva;12;2020-03-22;sunnuntai;Koko Suomi;kaikki;kaikki;948;2021/07/13 10:02:58
Työttömyysturva;2021;paiva;12;2021-03-22;maanantai;Koko Suomi;kaikki;kaikki;1202;2021/07/13 10:02:58
Työttömyysturva;2021;paiva;12;2021-03-23;tiistai;Koko Suomi;kaikki;kaikki;1015;2021/07/13 10:02:58
Työttömyysturva;2021;paiva;12;2021-03-24;keskiviikko;Koko Suomi;kaikki;kaikki;1231;2021/07/13 10:02:58
Työttömyysturva;2021;paiva;12;2021-03-25;torstai;Koko Suomi;kaikki;kaikki;1090;2021/07/13 10:02:58
Työttömyysturva;2021;paiva;12;2021-03-26;perjantai;Koko Suomi;kaikki;kaikki;897;2021/07/13 10:02:58
Työttömyysturva;2021;paiva;12;2021-03-27;lauantai;Koko Suomi;kaikki;kaikki;248;2021/07/13 10:02:58
Työttömyysturva;2021;paiva;12;2021-03-28;sunnuntai;Koko Suomi;kaikki;kaikki;319;2021/07/13 10:02:58
Työttömyysturva;2020;paiva;13;2020-03-23;maanantai;Koko Suomi;kaikki;kaikki;3096;2021/07/13 10:02:58
Työttömyysturva;2020;paiva;13;2020-03-24;tiistai;Koko Suomi;kaikki;kaikki;2915;2021/07/13 10:02:58
Työttömyysturva;2020;paiva;13;2020-03-25;keskiviikko;Koko Suomi;kaikki;kaikki;2772;2021/07/13 10:02:58
Työttömyysturva;2020;paiva;13;2020-03-26;torstai;Koko Suomi;kaikki;kaikki;2668;2021/07/13 10:02:58
Työttömyysturva;2020;paiva;13;2020-03-27;perjantai;Koko Suomi;kaikki;kaikki;2387;2021/07/13 10:02:58
Työttömyysturva;2020;paiva;13;2020-03-28;lauantai;Koko Suomi;kaikki;kaikki;1181;2021/07/13 10:02:58
Työttömyysturva;2020;paiva;13;2020-03-29;sunnuntai;Koko Suomi;kaikki;kaikki;1205;2021/07/13 10:02:58
Työttömyysturva;2021;paiva;13;2021-03-29;maanantai;Koko Suomi;kaikki;kaikki;1528;2021/07/13 10:02:58
Työttömyysturva;2021;paiva;13;2021-03-30;tiistai;Koko Suomi;kaikki;kaikki;2436;2021/07/13 10:02:58
Työttömyysturva;2021;paiva;13;2021-03-31;keskiviikko;Koko Suomi;kaikki;kaikki;1905;2021/07/13 10:02:58
Työttömyysturva;2021;paiva;13;2021-04-01;torstai;Koko Suomi;kaikki;kaikki;1542;2021/07/13 10:02:58
Työttömyysturva;2021;paiva;13;2021-04-02;perjantai;Koko Suomi;kaikki;kaikki;557;2021/07/13 10:02:58
Työttömyysturva;2021;paiva;13;2021-04-03;lauantai;Koko Suomi;kaikki;kaikki;387;2021/07/13 10:02:58
Työttömyysturva;2021;paiva;13;2021-04-04;sunnuntai;Koko Suomi;kaikki;kaikki;200;2021/07/13 10:02:58
Työttömyysturva;2020;paiva;14;2020-03-30;maanantai;Koko Suomi;kaikki;kaikki;3859;2021/07/13 10:02:58
Työttömyysturva;2020;paiva;14;2020-03-31;tiistai;Koko Suomi;kaikki;kaikki;3259;2021/07/13 10:02:58
Työttömyysturva;2020;paiva;14;2020-04-01;keskiviikko;Koko Suomi;kaikki;kaikki;9066;2021/07/13 10:02:58
Työttömyysturva;2020;paiva;14;2020-04-02;torstai;Koko Suomi;kaikki;kaikki;4217;2021/07/13 10:02:58
Työttömyysturva;2020;paiva;14;2020-04-03;perjantai;Koko Suomi;kaikki;kaikki;3961;2021/07/13 10:02:58
