etuus;vuosi;aikatyyppi;viikko;alue;ikaluokka;sukupuoli;saapuneet_hakemukset;updated
Työttömyysturva;2019;viikko;4;Etelä-Savo;kaikki;kaikki;216;2021/07/01 10:04:09
Työttömyysturva;2019;viikko;4;Kainuu;kaikki;kaikki;104;2021/07/01 10:04:09
Työttömyysturva;2019;viikko;4;Kanta-Häme;kaikki;kaikki;241;2021/07/01 10:04:09
Työttömyysturva;2019;viikko;4;Keski-Pohjanmaa;kaikki;kaikki;106;2021/07/01 10:04:09
Työttömyysturva;2019;viikko;4;Keski-Suomi;kaikki;kaikki;487;2021/07/01 10:04:09
Työttömyysturva;2019;viikko;4;Kymenlaakso;kaikki;kaikki;204;2021/07/01 10:04:09
Työttömyysturva;2019;viikko;4;Lappi;kaikki;kaikki;268;2021/07/01 10:04:09
Työttömyysturva;2019;viikko;4;Pirkanmaa;kaikki;kaikki;837;2021/07/01 10:04:09
Työttömyysturva;2019;viikko;4;Pohjanmaa;kaikki;kaikki;251;2021/07/01 10:04:09
Työttömyysturva;2019;viikko;4;Pohjois-Karjala;kaikki;kaikki;371;2021/07/01 10:04:09
Työttömyysturva;2019;viikko;4;Pohjois-Pohjanmaa;kaikki;kaikki;659;2021/07/01 10:04:09
Työttömyysturva;2019;viikko;4;Pohjois-Savo;kaikki;kaikki;458;2021/07/01 10:04:09
Työttömyysturva;2019;viikko;4;Päijät-Häme;kaikki;kaikki;294;2021/07/01 10:04:09
Työttömyysturva;2019;viikko;4;Satakunta;kaikki;kaikki;339;2021/07/01 10:04:09
Työttömyysturva;2019;viikko;4;Uusimaa;kaikki;kaikki;2315;2021/07/01 10:04:09
Työttömyysturva;2019;viikko;4;Varsinais-Suomi;kaikki;kaikki;928;2021/07/01 10:04:09
Työttömyysturva;2020;viikko;4;Etelä-Karjala;kaikki;kaikki;149;2021/07/01 10:04:09
Työttömyysturva;2020;viikko;4;Etelä-Pohjanmaa;kaikki;kaikki;190;2021/07/01 10:04:09
Työttömyysturva;2020;viikko;4;Etelä-Savo;kaikki;kaikki;227;2021/07/01 10:04:09
