"etuus";"vuosi";"kuukausi";"paiva";"variable";"val";"type"
"Perustoimeentulotuki";"2022";"9";"2022-09-01";"aiemmin tukea saaneet";"158578";"Saajat"
"Perustoimeentulotuki";"2022";"9";"2022-09-01";"aiemmin tukea saaneet";"107382";"Saajakotitaloudet"
"Perustoimeentulotuki";"2022";"10";"2022-10-01";"uudet saajat";"7803";"Saajat"
"Perustoimeentulotuki";"2022";"10";"2022-10-01";"uudet saajat";"5938";"Saajakotitaloudet"
"Perustoimeentulotuki";"2022";"10";"2022-10-01";"aiemmin tukea saaneet";"167732";"Saajat"
"Perustoimeentulotuki";"2022";"10";"2022-10-01";"aiemmin tukea saaneet";"113642";"Saajakotitaloudet"
"Perustoimeentulotuki";"2022";"11";"2022-11-01";"uudet saajat";"9067";"Saajat"
"Perustoimeentulotuki";"2022";"11";"2022-11-01";"uudet saajat";"6862";"Saajakotitaloudet"
"Perustoimeentulotuki";"2022";"11";"2022-11-01";"aiemmin tukea saaneet";"176833";"Saajat"
"Perustoimeentulotuki";"2022";"11";"2022-11-01";"aiemmin tukea saaneet";"119429";"Saajakotitaloudet"
"Perustoimeentulotuki";"2022";"12";"2022-12-01";"uudet saajat";"8875";"Saajat"
"Perustoimeentulotuki";"2022";"12";"2022-12-01";"uudet saajat";"6809";"Saajakotitaloudet"
"Perustoimeentulotuki";"2022";"12";"2022-12-01";"aiemmin tukea saaneet";"180705";"Saajat"
"Perustoimeentulotuki";"2022";"12";"2022-12-01";"aiemmin tukea saaneet";"122054";"Saajakotitaloudet"
"Perustoimeentulotuki";"2023";"1";"2023-01-01";"uudet saajat";"10455";"Saajat"
"Perustoimeentulotuki";"2023";"1";"2023-01-01";"uudet saajat";"7766";"Saajakotitaloudet"
"Perustoimeentulotuki";"2023";"1";"2023-01-01";"aiemmin tukea saaneet";"184080";"Saajat"
"Perustoimeentulotuki";"2023";"1";"2023-01-01";"aiemmin tukea saaneet";"123616";"Saajakotitaloudet"
"Perustoimeentulotuki";"2023";"2";"2023-02-01";"uudet saajat";"10028";"Saajat"
"Perustoimeentulotuki";"2023";"2";"2023-02-01";"uudet saajat";"7512";"Saajakotitaloudet"
"Perustoimeentulotuki";"2023";"2";"2023-02-01";"aiemmin tukea saaneet";"187531";"Saajat"
"Perustoimeentulotuki";"2023";"2";"2023-02-01";"aiemmin tukea saaneet";"125588";"Saajakotitaloudet"
"Perustoimeentulotuki";"2023";"3";"2023-03-01";"uudet saajat";"9830";"Saajat"
"Perustoimeentulotuki";"2023";"3";"2023-03-01";"uudet saajat";"7266";"Saajakotitaloudet"
"Perustoimeentulotuki";"2023";"3";"2023-03-01";"aiemmin tukea saaneet";"187734";"Saajat"
"Perustoimeentulotuki";"2023";"3";"2023-03-01";"aiemmin tukea saaneet";"125969";"Saajakotitaloudet"
"Perustoimeentulotuki";"2023";"4";"2023-04-01";"uudet saajat";"8322";"Saajat"
"Perustoimeentulotuki";"2023";"4";"2023-04-01";"uudet saajat";"6280";"Saajakotitaloudet"
"Perustoimeentulotuki";"2023";"4";"2023-04-01";"aiemmin tukea saaneet";"185502";"Saajat"
"Perustoimeentulotuki";"2023";"4";"2023-04-01";"aiemmin tukea saaneet";"124267";"Saajakotitaloudet"
"Perustoimeentulotuki";"2023";"5";"2023-05-01";"uudet saajat";"9022";"Saajat"
"Perustoimeentulotuki";"2023";"5";"2023-05-01";"uudet saajat";"6639";"Saajakotitaloudet"
"Perustoimeentulotuki";"2023";"5";"2023-05-01";"aiemmin tukea saaneet";"185437";"Saajat"
"Perustoimeentulotuki";"2023";"5";"2023-05-01";"aiemmin tukea saaneet";"124281";"Saajakotitaloudet"
"Perustoimeentulotuki";"2023";"6";"2023-06-01";"uudet saajat";"12257";"Saajat"
"Perustoimeentulotuki";"2023";"6";"2023-06-01";"uudet saajat";"10066";"Saajakotitaloudet"
"Perustoimeentulotuki";"2023";"6";"2023-06-01";"aiemmin tukea saaneet";"188296";"Saajat"
"Perustoimeentulotuki";"2023";"6";"2023-06-01";"aiemmin tukea saaneet";"126899";"Saajakotitaloudet"
"Perustoimeentulotuki";"2023";"7";"2023-07-01";"uudet saajat";"8728";"Saajat"
"Perustoimeentulotuki";"2023";"7";"2023-07-01";"uudet saajat";"7011";"Saajakotitaloudet"
"Perustoimeentulotuki";"2023";"7";"2023-07-01";"aiemmin tukea saaneet";"185226";"Saajat"
"Perustoimeentulotuki";"2023";"7";"2023-07-01";"aiemmin tukea saaneet";"125821";"Saajakotitaloudet"
"Perustoimeentulotuki";"2023";"8";"2023-08-01";"uudet saajat";"7739";"Saajat"
"Perustoimeentulotuki";"2023";"8";"2023-08-01";"uudet saajat";"5802";"Saajakotitaloudet"
"Perustoimeentulotuki";"2023";"8";"2023-08-01";"aiemmin tukea saaneet";"154726";"Saajat"
"Perustoimeentulotuki";"2023";"8";"2023-08-01";"aiemmin tukea saaneet";"104749";"Saajakotitaloudet"
"Perustoimeentulotuki";"2023";"9";"2023-09-01";"uudet saajat";"8100";"Saajat"
"Perustoimeentulotuki";"2023";"9";"2023-09-01";"uudet saajat";"6128";"Saajakotitaloudet"
"Perustoimeentulotuki";"2023";"9";"2023-09-01";"aiemmin tukea saaneet";"155454";"Saajat"
"Perustoimeentulotuki";"2023";"9";"2023-09-01";"aiemmin tukea saaneet";"103674";"Saajakotitaloudet"
"Perustoimeentulotuki";"2023";"10";"2023-10-01";"uudet saajat";"8696";"Saajat"
"Perustoimeentulotuki";"2023";"10";"2023-10-01";"uudet saajat";"6459";"Saajakotitaloudet"
"Perustoimeentulotuki";"2023";"10";"2023-10-01";"aiemmin tukea saaneet";"167207";"Saajat"
"Perustoimeentulotuki";"2023";"10";"2023-10-01";"aiemmin tukea saaneet";"111828";"Saajakotitaloudet"
"Perustoimeentulotuki";"2023";"11";"2023-11-01";"uudet saajat";"9943";"Saajat"
"Perustoimeentulotuki";"2023";"11";"2023-11-01";"uudet saajat";"7262";"Saajakotitaloudet"
"Perustoimeentulotuki";"2023";"11";"2023-11-01";"aiemmin tukea saaneet";"175903";"Saajat"
"Perustoimeentulotuki";"2023";"11";"2023-11-01";"aiemmin tukea saaneet";"117338";"Saajakotitaloudet"
