"toimenpideluokka";"alue";"korvatut_testit_lkm";"viikko";"vuosi";"aikatyyppi";"updated";"paiva"
"Antigeenitutkimus";"Koko Suomi";"153";"52";"2022";"viikko";"2023/12/26 16:37:42";"2022-12-26"
"Antigeenitutkimus";"Koko Suomi";"238";"53";"2020";"viikko";"2023/12/26 16:37:42";NA
"Nukleiinihappotutkimus";"Koko Suomi";"2237";"1";"2021";"viikko";"2023/12/26 16:37:42";"2021-01-04"
"Nukleiinihappotutkimus";"Koko Suomi";"6941";"1";"2022";"viikko";"2023/12/26 16:37:42";"2022-01-03"
"Nukleiinihappotutkimus";"Koko Suomi";"5130";"1";"2023";"viikko";"2023/12/26 16:37:42";"2023-01-02"
"Nukleiinihappotutkimus";"Koko Suomi";"2488";"2";"2021";"viikko";"2023/12/26 16:37:42";"2021-01-11"
"Nukleiinihappotutkimus";"Koko Suomi";"11571";"2";"2022";"viikko";"2023/12/26 16:37:42";"2022-01-10"
"Nukleiinihappotutkimus";"Koko Suomi";"4157";"2";"2023";"viikko";"2023/12/26 16:37:42";"2023-01-09"
"Nukleiinihappotutkimus";"Koko Suomi";"1522";"3";"2021";"viikko";"2023/12/26 16:37:42";"2021-01-18"
"Nukleiinihappotutkimus";"Koko Suomi";"16896";"3";"2022";"viikko";"2023/12/26 16:37:42";"2022-01-17"
"Nukleiinihappotutkimus";"Koko Suomi";"1890";"3";"2023";"viikko";"2023/12/26 16:37:42";"2023-01-16"
"Nukleiinihappotutkimus";"Koko Suomi";"3516";"4";"2021";"viikko";"2023/12/26 16:37:42";"2021-01-25"
"Nukleiinihappotutkimus";"Koko Suomi";"6632";"4";"2022";"viikko";"2023/12/26 16:37:42";"2022-01-24"
"Nukleiinihappotutkimus";"Koko Suomi";"1391";"4";"2023";"viikko";"2023/12/26 16:37:42";"2023-01-23"
"Nukleiinihappotutkimus";"Koko Suomi";"2953";"5";"2021";"viikko";"2023/12/26 16:37:42";"2021-02-01"
"Nukleiinihappotutkimus";"Koko Suomi";"11918";"5";"2022";"viikko";"2023/12/26 16:37:42";"2022-01-31"
"Nukleiinihappotutkimus";"Koko Suomi";"518";"5";"2023";"viikko";"2023/12/26 16:37:42";"2023-01-30"
"Nukleiinihappotutkimus";"Koko Suomi";"3209";"6";"2021";"viikko";"2023/12/26 16:37:42";"2021-02-08"
"Nukleiinihappotutkimus";"Koko Suomi";"13366";"6";"2022";"viikko";"2023/12/26 16:37:42";"2022-02-07"
"Nukleiinihappotutkimus";"Koko Suomi";"673";"6";"2023";"viikko";"2023/12/26 16:37:42";"2023-02-06"
"Nukleiinihappotutkimus";"Koko Suomi";"6066";"7";"2021";"viikko";"2023/12/26 16:37:42";"2021-02-15"
"Nukleiinihappotutkimus";"Koko Suomi";"12623";"7";"2022";"viikko";"2023/12/26 16:37:42";"2022-02-14"
"Nukleiinihappotutkimus";"Koko Suomi";"356";"7";"2023";"viikko";"2023/12/26 16:37:42";"2023-02-13"
"Nukleiinihappotutkimus";"Koko Suomi";"7370";"8";"2021";"viikko";"2023/12/26 16:37:42";"2021-02-22"
"Nukleiinihappotutkimus";"Koko Suomi";"8418";"8";"2022";"viikko";"2023/12/26 16:37:42";"2022-02-21"
"Nukleiinihappotutkimus";"Koko Suomi";"547";"8";"2023";"viikko";"2023/12/26 16:37:42";"2023-02-20"
"Nukleiinihappotutkimus";"Koko Suomi";"12168";"9";"2021";"viikko";"2023/12/26 16:37:42";"2021-03-01"
"Nukleiinihappotutkimus";"Koko Suomi";"15054";"9";"2022";"viikko";"2023/12/26 16:37:42";"2022-02-28"
"Nukleiinihappotutkimus";"Koko Suomi";"327";"9";"2023";"viikko";"2023/12/26 16:37:42";"2023-02-27"
"Nukleiinihappotutkimus";"Koko Suomi";"8440";"10";"2021";"viikko";"2023/12/26 16:37:42";"2021-03-08"
"Nukleiinihappotutkimus";"Koko Suomi";"8865";"10";"2022";"viikko";"2023/12/26 16:37:42";"2022-03-07"
"Nukleiinihappotutkimus";"Koko Suomi";"240";"10";"2023";"viikko";"2023/12/26 16:37:42";"2023-03-06"
"Nukleiinihappotutkimus";"Koko Suomi";"6845";"11";"2021";"viikko";"2023/12/26 16:37:42";"2021-03-15"
"Nukleiinihappotutkimus";"Koko Suomi";"13994";"11";"2022";"viikko";"2023/12/26 16:37:42";"2022-03-14"
"Nukleiinihappotutkimus";"Koko Suomi";"217";"11";"2023";"viikko";"2023/12/26 16:37:42";"2023-03-13"
"Nukleiinihappotutkimus";"Koko Suomi";"6929";"12";"2021";"viikko";"2023/12/26 16:37:42";"2021-03-22"
"Nukleiinihappotutkimus";"Koko Suomi";"8626";"12";"2022";"viikko";"2023/12/26 16:37:42";"2022-03-21"
"Nukleiinihappotutkimus";"Koko Suomi";"223";"12";"2023";"viikko";"2023/12/26 16:37:42";"2023-03-20"
"Nukleiinihappotutkimus";"Koko Suomi";"7142";"13";"2021";"viikko";"2023/12/26 16:37:42";"2021-03-29"
"Nukleiinihappotutkimus";"Koko Suomi";"14031";"13";"2022";"viikko";"2023/12/26 16:37:42";"2022-03-28"
"Nukleiinihappotutkimus";"Koko Suomi";"201";"13";"2023";"viikko";"2023/12/26 16:37:42";"2023-03-27"
"Nukleiinihappotutkimus";"Koko Suomi";"8241";"14";"2021";"viikko";"2023/12/26 16:37:42";"2021-04-05"
"Nukleiinihappotutkimus";"Koko Suomi";"14297";"14";"2022";"viikko";"2023/12/26 16:37:42";"2022-04-04"
"Nukleiinihappotutkimus";"Koko Suomi";"89";"14";"2023";"viikko";"2023/12/26 16:37:42";"2023-04-03"
"Nukleiinihappotutkimus";"Koko Suomi";"10151";"15";"2021";"viikko";"2023/12/26 16:37:42";"2021-04-12"
"Nukleiinihappotutkimus";"Koko Suomi";"5803";"15";"2022";"viikko";"2023/12/26 16:37:42";"2022-04-11"
"Nukleiinihappotutkimus";"Koko Suomi";"147";"15";"2023";"viikko";"2023/12/26 16:37:42";"2023-04-10"
"Nukleiinihappotutkimus";"Koko Suomi";"7800";"16";"2021";"viikko";"2023/12/26 16:37:42";"2021-04-19"
