code,values,class,name,description
saapuneet_hakemukset,32905,integer64,Saapuneet hakemukset,Saapuneet hakemukset ovat Kelan käsittelyjärjestelmään tallentuneita asiakkaiden lähettämiä etuushakemuksia
saapuneet_hakemukset,32171,integer64,Saapuneet hakemukset,Saapuneet hakemukset ovat Kelan käsittelyjärjestelmään tallentuneita asiakkaiden lähettämiä etuushakemuksia
saapuneet_hakemukset,29083,integer64,Saapuneet hakemukset,Saapuneet hakemukset ovat Kelan käsittelyjärjestelmään tallentuneita asiakkaiden lähettämiä etuushakemuksia
saapuneet_hakemukset,26827,integer64,Saapuneet hakemukset,Saapuneet hakemukset ovat Kelan käsittelyjärjestelmään tallentuneita asiakkaiden lähettämiä etuushakemuksia
saapuneet_hakemukset,32983,integer64,Saapuneet hakemukset,Saapuneet hakemukset ovat Kelan käsittelyjärjestelmään tallentuneita asiakkaiden lähettämiä etuushakemuksia
saapuneet_hakemukset,30903,integer64,Saapuneet hakemukset,Saapuneet hakemukset ovat Kelan käsittelyjärjestelmään tallentuneita asiakkaiden lähettämiä etuushakemuksia
saapuneet_hakemukset,25151,integer64,Saapuneet hakemukset,Saapuneet hakemukset ovat Kelan käsittelyjärjestelmään tallentuneita asiakkaiden lähettämiä etuushakemuksia
saapuneet_hakemukset,23159,integer64,Saapuneet hakemukset,Saapuneet hakemukset ovat Kelan käsittelyjärjestelmään tallentuneita asiakkaiden lähettämiä etuushakemuksia
saapuneet_hakemukset,27750,integer64,Saapuneet hakemukset,Saapuneet hakemukset ovat Kelan käsittelyjärjestelmään tallentuneita asiakkaiden lähettämiä etuushakemuksia
saapuneet_hakemukset,35697,integer64,Saapuneet hakemukset,Saapuneet hakemukset ovat Kelan käsittelyjärjestelmään tallentuneita asiakkaiden lähettämiä etuushakemuksia
saapuneet_hakemukset,28537,integer64,Saapuneet hakemukset,Saapuneet hakemukset ovat Kelan käsittelyjärjestelmään tallentuneita asiakkaiden lähettämiä etuushakemuksia
saapuneet_hakemukset,26557,integer64,Saapuneet hakemukset,Saapuneet hakemukset ovat Kelan käsittelyjärjestelmään tallentuneita asiakkaiden lähettämiä etuushakemuksia
saapuneet_hakemukset,24652,integer64,Saapuneet hakemukset,Saapuneet hakemukset ovat Kelan käsittelyjärjestelmään tallentuneita asiakkaiden lähettämiä etuushakemuksia
saapuneet_hakemukset,34735,integer64,Saapuneet hakemukset,Saapuneet hakemukset ovat Kelan käsittelyjärjestelmään tallentuneita asiakkaiden lähettämiä etuushakemuksia
saapuneet_hakemukset,31577,integer64,Saapuneet hakemukset,Saapuneet hakemukset ovat Kelan käsittelyjärjestelmään tallentuneita asiakkaiden lähettämiä etuushakemuksia
saapuneet_hakemukset,28293,integer64,Saapuneet hakemukset,Saapuneet hakemukset ovat Kelan käsittelyjärjestelmään tallentuneita asiakkaiden lähettämiä etuushakemuksia
saapuneet_hakemukset,25070,integer64,Saapuneet hakemukset,Saapuneet hakemukset ovat Kelan käsittelyjärjestelmään tallentuneita asiakkaiden lähettämiä etuushakemuksia
saapuneet_hakemukset,32890,integer64,Saapuneet hakemukset,Saapuneet hakemukset ovat Kelan käsittelyjärjestelmään tallentuneita asiakkaiden lähettämiä etuushakemuksia
saapuneet_hakemukset,33638,integer64,Saapuneet hakemukset,Saapuneet hakemukset ovat Kelan käsittelyjärjestelmään tallentuneita asiakkaiden lähettämiä etuushakemuksia
saapuneet_hakemukset,29326,integer64,Saapuneet hakemukset,Saapuneet hakemukset ovat Kelan käsittelyjärjestelmään tallentuneita asiakkaiden lähettämiä etuushakemuksia
saapuneet_hakemukset,24211,integer64,Saapuneet hakemukset,Saapuneet hakemukset ovat Kelan käsittelyjärjestelmään tallentuneita asiakkaiden lähettämiä etuushakemuksia
saapuneet_hakemukset,26825,integer64,Saapuneet hakemukset,Saapuneet hakemukset ovat Kelan käsittelyjärjestelmään tallentuneita asiakkaiden lähettämiä etuushakemuksia
saapuneet_hakemukset,33963,integer64,Saapuneet hakemukset,Saapuneet hakemukset ovat Kelan käsittelyjärjestelmään tallentuneita asiakkaiden lähettämiä etuushakemuksia
saapuneet_hakemukset,30725,integer64,Saapuneet hakemukset,Saapuneet hakemukset ovat Kelan käsittelyjärjestelmään tallentuneita asiakkaiden lähettämiä etuushakemuksia
saapuneet_hakemukset,29916,integer64,Saapuneet hakemukset,Saapuneet hakemukset ovat Kelan käsittelyjärjestelmään tallentuneita asiakkaiden lähettämiä etuushakemuksia
