tyyppi,vuosi,aikatyyppi,kuukausi,viikko,paiva,viikonpaiva,alue,aluetaso,palvelukanava,saatavuusaika_ka,hakemukset_sahkoiset_osuus,puhelinpalvelun_vastausprosentti,puhelinpalvelun_jonotusajan_keskiarvo_min,updated
verkkohakemusten osuus,2019,kuukausi,5,NA,NA,NA,Brändö,kunta,verkkopalvelu,NA,47.9,NA,NA,2021-03-26 10:04:31
verkkohakemusten osuus,2019,kuukausi,6,NA,NA,NA,Brändö,kunta,verkkopalvelu,NA,53.1,NA,NA,2021-03-26 10:04:31
verkkohakemusten osuus,2019,kuukausi,7,NA,NA,NA,Brändö,kunta,verkkopalvelu,NA,51.8,NA,NA,2021-03-26 10:04:31
verkkohakemusten osuus,2019,kuukausi,8,NA,NA,NA,Brändö,kunta,verkkopalvelu,NA,56.4,NA,NA,2021-03-26 10:04:31
verkkohakemusten osuus,2019,kuukausi,9,NA,NA,NA,Brändö,kunta,verkkopalvelu,NA,48.1,NA,NA,2021-03-26 10:04:31
verkkohakemusten osuus,2019,kuukausi,10,NA,NA,NA,Brändö,kunta,verkkopalvelu,NA,56.5,NA,NA,2021-03-26 10:04:31
verkkohakemusten osuus,2019,kuukausi,11,NA,NA,NA,Brändö,kunta,verkkopalvelu,NA,56.7,NA,NA,2021-03-26 10:04:31
verkkohakemusten osuus,2019,kuukausi,12,NA,NA,NA,Brändö,kunta,verkkopalvelu,NA,55.1,NA,NA,2021-03-26 10:04:31
verkkohakemusten osuus,2020,kuukausi,1,NA,NA,NA,Brändö,kunta,verkkopalvelu,NA,43,NA,NA,2021-03-26 10:04:31
verkkohakemusten osuus,2020,kuukausi,2,NA,NA,NA,Brändö,kunta,verkkopalvelu,NA,54.8,NA,NA,2021-03-26 10:04:31
verkkohakemusten osuus,2020,kuukausi,3,NA,NA,NA,Brändö,kunta,verkkopalvelu,NA,63.2,NA,NA,2021-03-26 10:04:31
verkkohakemusten osuus,2020,kuukausi,4,NA,NA,NA,Brändö,kunta,verkkopalvelu,NA,47.9,NA,NA,2021-03-26 10:04:31
verkkohakemusten osuus,2020,kuukausi,5,NA,NA,NA,Brändö,kunta,verkkopalvelu,NA,53.2,NA,NA,2021-03-26 10:04:31
verkkohakemusten osuus,2020,kuukausi,6,NA,NA,NA,Brändö,kunta,verkkopalvelu,NA,61.2,NA,NA,2021-03-26 10:04:31
verkkohakemusten osuus,2020,kuukausi,7,NA,NA,NA,Brändö,kunta,verkkopalvelu,NA,30.6,NA,NA,2021-03-26 10:04:31
